"","text"
"529","terkadang    sulit  mengerti   "
"530","tergantung orang nya sihh"
"531","  pribadi cukup jenuh   kuliah  whatsapp   seefektif kuliah tatap "
"532","jujur"
"533"," setuju  setuju sih        efisien tapi   dijalankan  proses  mengajar   berjalan"
"534","  mahasiswa    mendengarkan  dosen  penjelasan  "
"535","dampak       kemandirian   memicu lahirnya kecanggihan teknologi"
"536","  cukup      maksimal"
"537","  cukup      maksimal"
"538","     dampak    seringkali       membuka  aplikasi   konsentrasi  belajarnya  full            manfaat       memainkan  namanya gadget"
"539"," minat  gurudosen menjelaskan"
"540","   memaksa  melek teknologi"
"541","    daring   fokus memperhatikan   dosen      dapatkan   tatap "
"542","dampaknya    butuh   memahami pelajaran  bentuk   vidio    ulangulang"
"543","    malas  malas kerjakan tugas   "
"544","karna susah  pahami"
"545","  setuju   banyaknya kendala     "
"546","     solusi ditengah pandemi   "
"547","   offline         ruginya      memaksa   luwes memanfaatkan teknologi"
"548"," berdampak efektif  penyerapan  pemahaman   "
"549"," mengenal    berkomunikasi jarak "
"550"," kondisi    jarak "
"551","      efektif"
"552","menambah media      proses "
"553","manusia butuh interaksi sosial"
"554","interaksi sosial  mahasiswa  dosen  berkurang"
"555"," mengerti penjelasan dosen"
"556","       cukup sulit      yag terkendala jaringan    dosen    sekedar power point"
"557","ya    baiknya"
"558","   manapun         sarananya  mendukung"
"559","      mengenal  aplikasiaplikasi   membantu    "
"560","menciptakan ruang ajar  dinamis"
"561","setuju   peserta didik  tim pengajar  memanfaatkan fasilitas pembelaharan   "
"562"," dampak   buruknya salah  dampak baiknya   masuk kelas   "
"563"," kegiatan        diikuti     mahasiswa  kondusif  dilaksanakan onlind"
"564","    dampak     mengajar     "
"565","menimbulkan sifat malas  susah  menerima   "
"566","interaksi sosial  terjalin demgan "
"567","baiknya  sistem ujian  open book  memudahkan mahasiswa   berpikir luas    d   tanggapan  analisis"
"568","   tugas          tugass  bentuk file diketik"
"569","proses  mengajar    sisi negatif  positif nya sisi negatifnya    berinteraksi  langsung  guru     menyebabkan   memahami      guru sisi positifnya     teknologi    tau  perkembangan teknologi   berkembang  ketakwaanmu"
"570","dampak       anak candu  android kesehatan mata anak  berpengaruh negatif  durasi  menatap layar androidpc cukup lama"
"571","   jaringan   mendukung  daerah daerah "
"572","   mengakses internet  bagus"
"573","dampak baiknya  peserta  mengikuti  didorong   kreatif  penyelesaian tugas    diajarkan"
"574","   daring    bebasdalam artiankita  dituntut  berpakaian     daring"
"575","  menumbuhkan sikap disiplin  mandiri   pelajaran   "
"576","agak lumayan  melatih   pengajarar  penggunaan komputer  media "
"577"," cukup setuju tapi tugas       "
"578","   anak  membuka  tapi  bermain game"
"579"," "
"580","   mahasiswa  tidur   mengdengarkan  dosen  mengajar  aplikasi zoom  google meet"
"581"," dampak baiknya  fleksibel   dilaksanakan dimana "
"582","santai belajarnya"
"583"," dampak    dampak buruknya "
"584","dampak    manfaatkan  "
"585","dampak    hemat  biaya  transportasi   kampus     "
"586","     mahasiswa   daerahnya    jaringan    menerima   "
"587","kadang terkendala  jaringan"
"588","proses            "
"589","memudahkan      mengajak peserta didik   informasi  teknologi"
"590","  tatap "
"591","  explore "
"592","      jarak   memudahkan   berkomunikasi  berbeda  tapi    negatifnya     amati trmasuk    mengikuti kuliah   serius  menyimak  alhasil kurangnya ilmu     sifat mager   utama   teman     tidur  proses  mengajar  dilaksanakan  kemarin   makan  minum  ya   cukup"
"593","  guru  samasama faham internet"
"594"," setuju    efektif  memantau mahasiswanya"
"595"," mata kuliah  mudah    langsung        terleksana     memakai metode daring"
"596"," efektif"
"597","      tatap  tapi   dampak     melatih kehujuran anak"
"598","kreativitas   mengajar  meningkat"
"599"," menyebabkan perubahan positif    guru"
"600"," bikin  sistematis  ekstra ketelatenan  kuat"
"601","penanaman karakter  terbatas"
"602","    dampak     aspek kedisiplinan      tata tertib  proses  mengajar    diterapkan  model  "
"603","      gaptek"
"604","cukup setuju        tapi  dampak baiknya  nihil   dapatkan       dampak   dapatkan  leluasa mengulur²   bermalas²an"
"605"," cukup setuju    dimana      mahasiswa dipermudah   mencari   referensi  tugas        anggap       mahasiswa   bergantung  internet   memperhatikan buku "
"606","     efektif  dosen menjelaskan   mahasiswa berseluncur  media sosial   mengurangi kofokusan     mager"
"607"," deadline tugas     "
"608"," pelajar  fokus  memerhatikan pelajaran"
"609","    "
"610","tergantung   individu"
"611","    "
"612","  segi ti  non ti      lapangan"
"613","    lakukan  langsung"
"614","     ringan  belajarnya  puas  fasilitas seadanya"
"615"," pendapat    dampak buruk     setres     "
"616","    agak sulit diterima"
"617"," tergantung dosen   mata kuliah  mahasiswa  menerima    cukup   menyikapinya"
"618","  iya   "
"619","     memanfaatkan data      disalahgunakan  bermain game nnton youtube   "
"620","cukup   disisi    berleluasa  faham   "
"621","dampak  karna  kebaikan    penanganan covid"
"622","   setuju     dosen menjelaskan    dimengerti   peraktek sulit  dimengerti"
"623"," mandiri   tugas"
"624","cukup mempermudah "
"625"," suka malas  daring  bosan"
"626","kesusahan  menerima   "
"627",""
"628","   ketinggalan    efektif"
"629","   menumbuhkan atribut  persepsi  peserta didik     mandiri selfpaced   "
"630","     flexibel   terbatasi  jarak"
"631","  bandingkan  metode tatap   jarak       kbm"
"632","meningkatkan kreativitas  kemandirian"
"633","   sifatnya lifestylecocok"
"634","menjangkau      singkat"
"635","    berbuat         setuju"
"636"," "
"637"," setuju  tanggal merah  melaksanakan "
"638","kedisipilan  berkurang  "
"639","iya  signifikan  "
"640","dampaknya   efektif   mencerna pelajaran  dipaparkan orang pembicara"
"641","   kebanyakan mahasiswai  malas    mengejarkan tugas"
"642","tatap    "
"643","   variasi  "
"644","   mandiri"
"645"," mahasiswa dituntut aktif  proses "
"646","  daring  dampak      anak  malas menurunnya pencapaian "
"647"," kreatif"
"648","    sulit"
"649","cukup  dampak     pandemi  mengurangi penyebaran virus covid"
"650","     pastikan mengikuti   "
"651","  dimengerti"
"652","   ilmu  didapatkan  berkurang"
"653","  tanggapan   "
"654"," memanfaatkan "
"655"," tugas dosen berlombalomba   tugas   dosen   deadline   jam      ga     "
"656","     pelaku pendidikan dituntut   perubahan       pemanfaatan teknologi  "
"657","  merasakan ips       efektifitas penyampaian   dirasa "
"658"," proses        mudah dicerna   terima  kondisi  santai  rumah"
"659","  cukup setuju  dampaknya anakanak   mengeksplor   luas"
"660","   "
"661","  paham   hah  maksud"
"662"," banyaknya hambatan   disebuntukan diatas     efektif   cenderung  arah   arah mahasiswa  dosen aktif"
"663","       langsung  mengurangi mencontek   utsuas "
"664"," dampaknya    nilai       open book"
"665","jujur     cenderung  integritas   temanteman menurun          rasakan"
"666"," sisi positifnya   santai  artian   rumah    rileks"
"667","  banyaknya keluhan   daring   metode    efektif  pemahaman    maksimal  hambatan koneksi  terkadang  menghambat "
"668","   point diatas pelajar  menganggap enteng     cenderung  menerima  mementingkan pelajaran         pentingkan  absensi"
"669","   flexible      "
"670","sulit memahami "
"671","menghemat   kertas"
"672"," merasakan dampak  cukup positif        mudah  mencatat "
"673","      tapi     tatap "
"674","   dampak "
"675","dampak baiknya  anak    menangkap   mencari   internet  menumbuhkan             merata   guruguru  siap  menyikapi tugas     murid"
"676","setuju   daring  dampak     mengajar   seefektif  seefisien   tatap "
"677"," efektif hasilnya  tatap   parents   stress"
"678","  sisi    fleksibel    sisi  beban tugas     berat  tricky    daring"
"679","  ditemukan keresahan  pelajarmahasiswa terkait penguasaan   rumit dipahami  terkendala jaringansinyal  kelas "
"680","dampak baiknya   pengajar   mengembangkan metode belajarnya   beragam          mandiri"
"681","    sekedar  masuk   kelas   memahami   dampak     depannya  banyaknya  pelajar   dapet menguasaimemahami  "
"682","   diakses dimanapun   sesuai   ditentukan"
"683"," setuju  dosen  kadang  mengubah jadwal    mahasiswanya  presentasi   penjelasan    dosen terkait"
"684","trgantung  pengjarguru  membelajarkan siswanya   sibawa   memahami "
"685","cukup setuju    mandiri belajarnya"
"686"," agak kesulitan   tugas praktik  menerus"
"687"," mengenal it"
"688","  ditampilkan  animasi  pembuatannya  sederhana"
"689","pengetahuan anak  guru  it bertambah"
"690","  pembelajarna   dampak     mengajar    anak  rajin   semangat     tapi  anak   semangatnya   kendala  kejenuhan   metode daring tapi     berlaku   anak jenuh  metode daring  cape lihat laptop  hp    kejenuhan   berlaku  guru   disibukan   guru      administrasi "
"691","setuju karna   onlain anak   memanfaatkan tehnologi"
"692"," guru    maksimal   by   peserta didik mengerti     dilaksanakan"
"693","  guru   taubttg it"
"694","disebabkan  jarak    guru   bertatap   langsung menyebabkan     disiplin    kendala       memiliki perangkat  memadai   fasilitas paket internet  kadang  mencukupi   kendala  mengikuti   "
"695"," dampak positif  negatif  u tuk dmpak positifnya   menemukan solusi       luring"
"696"," cukup memahami     dosen"
"697","  aplikasiaplikasi tik"
"698","iya   guru terbantu  memaparkan materinya disaat pandemi"
"699"," efektif    pintar mengginakan it"
"700",""
"701"," guru dipaksa  mengenal it   "
"702"," dampaknya  bagus  anakanak     fokus  game  memegang handphone"
"703","dampak baiknya  anak   mandiri  dampak negatifnya    mendalam  susah membangun karakter   kejujuran"
"704"," kondisi normal kbm    dampak   terkhusus  keterampilan literasi  mengakomodasi   memiliki kemampuan    moda     memunculkan permasalahan    kesenjangangap fasilitas   hasil "
"705","  berdampak "
"706"," anakanak  mengeluh  orang tua pusing mendampingi anakanak"
"707","keren"
"708","guru  haus  ilmu  tekhnologi  mendukung   menyenangkan   onlie      jenuh   aplikasi "
"709"," tambahan ilmu  it   terpaksa"
"710"," setuju  dampak baiknya   kentara  anak  mahir  it tapi  segi sikap sosial  kemandirian peserta didik   merosot"
"711","  paham tatap "
"712","    memanfaatkan teknologi      bermain medsos "
"713"," menegerti   tatap "
"714","dampak   daring    menajemen    membiasakan adaptasi    pandemifasilitas     memadai  daring   kouta internet terbatas    daringsehingga   menghemat  efisieun  kepentingan  daring"
"715","anak anak  memaksimalkan media sosial"
"716","   dampak   buruknya tapi cenderung  baiknya      memutus rantai penyebaran covid tapi   berjalan  lancar   didukung     didamping orang tua   wilayah  memadai   sinyal  maka  tujuan    tercapai"
"717","       dampak   tapi    anak anak  malas  anak anak  suka  "
"718"," kebanyakan guru  tugas   murid  malas      mandiri   menyontek  temannya   tugas   murid  setres"
"719","ya  topiksubjek "
"720","  hasil       kemajuan  kemampuan     teman searcing    sepengetahuan guru    motivasi   mengandalkan searching"
"721","   tugas      pengumpulan   terkadang terhambat jaringan internet  lambat"
"722",NA
"723","anakanak cendurung memiliki motivasi   rendah  sulit memahami  "
"724","  meningkatkan kreativitas      unik   pandemi     kendala     memiliki fasilitasnya"
"725","cukup bagus  dosen  membangun mahasiswa   bosen  menjelaskan  "
"726","setuju"
"727"," guru termotivasi    terbaik  "
"728","karna     mandiri"
"729","kelebihan  daring      relax    banyka     istirahatminusnya     malas  videonya dimatikan  terkadang kit   bingung  ynag    sinyal   "
"730","   dampak negatifnya     "
"731","guru   bertambah wawasan   "
"732","   kekurangan    tapi  cukup setuju   dampak   dapatkan        fleksibel     mandiri   praktikum dituntut    bimbingan langsung  dosen terkait  teman"
"733","  leluasa  mengekspresikan kbmnya  suasananya  santai    rumah masingmasing"
"734"," ringkas"
"735"," kurangnya partisipasi    kesiswa  maksimal"
"736"," tuntunan pembejaran  peserta didik  pendidik  upgrade soft skill   menunjang  memanfaatkan  daring  maksimal"
"737","setuju"
"738","    metode   praktis  memacu anak bersahabat  perkembangan teknologi"
"739"," sisi   buruk   "
"740","kurangnya motivasi sarana  prasana  beserta guru    "
"741"," jarak   dampak    "
"742","    tatap "
"743","  dimudahkan  mengakses  "
"744","  pendekatan    kondisi "
"745","kepribadian anak   maksimal  menilai  berdasarkan pengumpulan tugas "
"746","   interaksi  teman"
"747","membantu      rumah"
"748","cukup setuju"
"749","     pendidik  kreatif"
"750","  penilaian    pertanggungjawaban  valid"
"751","proses  mengajar  maksimal"
"752"," baiknya  orang tua  mendampingi anak    anak tergantung  orang tua"
"753","    anak  "
"754","   setuju  kondisi covid   terpaksa melaksanakan pjj  "
"755","  kuota"
"756"," proses      maksimal"
"757","ya  sisi baiknya"
"758",""
"759","    malaskurang disiplin  bertanggung    tugas"
"760","  covidjd  membantu"
"761","  guru  kreatif"
"762","mengurangi resiko terpapar covid "
"763","guru   berinovasi   pengajaran"
"764","  motivasi    menurun"
"765","       mengembangkan teknologi komputer    "
"766","     dampak  positif   pandemi     guru   mengoptimalkanaplikasi aplikasi        pelibatan orangtua  pengawasan orangtua   maka     main game   malas "
"767","meningkatkan literasi digital guru  "
"768"," aja"
"769"," memudahkan guru    sekolah     pembagian pelajaran"
"770"," murid   "
"771"," menjaga keselamatan  pandemi corona"
"772","cukup setuju"
"773","  asyik memainkan gadgetnya dibandingkan  tugas   guru"
"774","membiasakan   mencoba   mengupgrade ilmu pengetahuan  skill  memudahkan anak anak  mereview     "
"775"," fiftyfifty   peralihan   konvensional  daring"
"776","   kendala   sekolah  kedisiplinan camistry jaringan kemauan  penggunaan gawai"
"777","  setuju  "
"778","  tersampaikn  "
"779"," pelajar kedepanya"
"780","  terkendala dlm kuota dlm "
"781"," tampa  pendampingan     orang tua maka     berdampak    dampak  negatif  anak   gangetnya  game     bermanfaat  "
"782","on line memaksa   mempelajari tehnologi   usia smp  mata pelajaran sain matematika  menjafi  terkendala usiamereka  siao  mandiri"
"783","  sisi menuntut  guru  inovatif    peserta didik"
"784","cukup setuju    pandemi       butuhkan  mash  kekurangannya"
"785","muridmurid  teknologi"
"786","  webinar   mudah dijalankan   dibandingkan  offline"
"787","ya  dampk positif  negatif"
"788","    webinar  membantu memahami   mengajar       "
"789"," membantu mengisi  luang  kelas kosong"
"790","iya cukup berdampak"
"791","ya   mudah  mengikutinya   ketempat seminarnya langsung cukup  "
"792"," dampak bagus     fokus  serius"
"793","  individu   serius mendengarkan penyampaian   pemateri pastinya    ilmu      mengincar sertifikat  maka    sekedar formalitas belaka"
"794","ya"
"795","berdampak  sih tapi  bagus   dilaksanakan  luring"
"796","iya       mengatasi  malas  depresi      pandemi "
"797","   dampak    misunderstand  miscomunicasi  terkendala jaringan"
"798","  webminar    dampak positif   media    menambah wawasan  relasi"
"799","  webminar    dampak positif   media    menambah wawasan  relasi"
"800","ya"
"801"," efisien"
"802"," berbicara  dampak baiknya   pelatihanwebinar bagus  mengisi kekosongan     pandemi"
"803","   efektif   mengikuti webinar   menuntut  praktek maka    sesuai    daring"
"804","  iya    orang  mengalami kendala  jaringan akah tertinggal  menghambat   melangkah  tahap "
"805","   pelatihan apapun"
"806","  "
"807","   berdampak"
"808","dampak  ditimbulkan   signifikan"
"809","webiner       mempermudah        kesusahan     webinar   solusi     mengikuti nya"
"810"," cenderung monoton"
"811"," membantu"
"812","  tambahan ilmu"
"813","  dampak"
"814","dikala pandemi   webinar  manfaat    menimba ilmu    aman"
"815",""
"816"," menjaga protokol    dampak       mudah"
"817",""
"818","  cukup   membantu  "
"819","ya pastinya  solusi"
"820","ya  membantu"
"821","   dampak  jaringan  kadang  mendukung   susah memahami pembahasan    webinar  pelatihan "
"822","yacukup"
"823","setujusangat berdampak"
"824","iya contohnya  dpaat mengikuti macam webinar  pemateri  bagusbagus    "
"825"," berdampak    kebanyakan fokus peserta  kegiatan        dipantau   faktorfaktor "
"826","iya"
"827"," mahasiswasiswa   tertarik mengikuti kegiatan    dampak    jarak         dampak apaapa    pribadi masingmasing "
"828"," dampak tapi  signifikan"
"829","ya  mudah  d akses dimana    "
"830","ya cukup lumayan"
"831","iyakarena   informasi    "
"832"," membantu  pedoman mengajar    metode mengajar  daring  memanfaatkan  aplikasi       penerapannya     peserta didik   terjangkau   alasan"
"833",""
"834","webinar  membantu   memanfaatkan media perekaman  dinonton  sesuai   "
"835","  dampak   webinar    beragam   terpaku seputar mata kuliah  mata pelajaran"
"836","webinar  membantu   pandemiselain menambah wawasanhal    mengisi  kosong   pebih bermanfaat"
"837","ya pelaksanan webinar  pelatihan     pandemi memiliki dampak    proses  jarak "
"838","cukup     pengetahuan    ambil      tatap  langsung"
"839","  dampak  proses  jarak "
"840","tergantung webinar  diikuti anak "
"841","ya"
"842",""
"843","dampaknya   signifikan"
"844","enak   pigi "
"845","ya"
"846","iya  berdampak"
"847","yah tergantung  pribadi     menerima  memahami   jarak   dijalankan"
"848","     cukup   penerapakannta      dapatkan  langsung"
"849","webinar  pelatihan cukup membantu    setuju  proses  offline"
"850","iya  bertambahnya pengetahuan         mengerti      pengajar"
"851"," berdampak   tatap   langsung    melaksanakan kegiatan   mengajak      fasilitas it    jarang "
"852","iya"
"853","yupss menambah wawasan "
"854","ya   webinar  menambah pengetahuan    pandemi  alhamdulillah   webinar  dibuka  gratis     manfaatkan  baiknya"
"855","iya"
"856"," webinar  membantu   informasi webinar kadang  sesuai  jadwal"
"857"," dampak  mendengar  jelas       jaringan   mendukung   banyaknya peserta  interaksi  langsung  pemateri     "
"858",""
"859","ya"
"860","iyasangat bermanfaat "
"861",""
"862","             tida   "
"863","ya  dampak   "
"864","pendapat   webinar   dampak  signifikan  proses    sekolah   memiliki keterbatasan akses internet  pengajar   mengharapkan proses   normal  "
"865",""
"866"," berdampak sih"
"867","   berdampak    salah  orang    mengerti  tertarik       tatap "
"868","alhamdulillah cukup membantu"
"869"," dampak    mandiri"
"870",""
"871","iya"
"872","iya  disamping  memperoleh   dosen    tambahan ilmu  webinar   ikuti"
"873"," keren sih  nambah skill  jg nambah wawasan"
"874","  dampak "
"875","menambah pengetahuan    ketahui"
"876",""
"877"," pendapat    webinar  pelatihan  cukup membantu"
"878","iya"
"879","cukup  dampak     gangguan"
"880","ya"
"881"," "
"882","      orang diluar   faham    "
"883","yakarna dilaksanakan nya   buka bertatap "
"884","memiliki dampak   pemahaman    dipaparkan"
"885","berdampak   org   menambah wawasan  pandemi"
"886","  mengikuti"
"887","     motovasi"
"888"," "
"889","cukup     offline"
"890","iyaa    menambah kualitas   pandemic"
"891","   kondisi pandemi   dimana pendidik   amunisi  berinovasi   meningkatkan tpack nya   proses  jarak "
"892","ya"
"893"," membantu  medapatkan   teknikteknik  jarak   "
"894"," membantu     pelatihan     lokasi   tatap "
"895","  terhambat  realisasinya   orang  berbeda motivasi  audiens"
"896","iya  berpengaruh  ilmunya  langsung  praktekkan  "
"897","  "
"898","ditempat    jarak    berjalan  mestinya"
"899"," "
"900"," "
"901","kadang     terapkan"
"902",""
"903","pastinya  memiliki dampak positif  suasana  berbeda   menarik  seminar  "
"904"," dampak positif      pjj   menambah ilmu     maksimal"
"905","webinar   dampak   guru   jarak "
"906","iya berdampak "
"907"," dampak positif    menambah pengetahuan   tatap "
"908","pendapat   webinar  pelatihan  dampaknya cukup     efektif  proses  jarak "
"909","iya"
"910","cukup berguna"
"911","  pengaruh  dimana  orang  join webinar  dibandingkan tatap  langsung   segi hemat    membuang  cukup "
"912"," "
"913","  pribadi masingmasing"
"914","iya webminar cukup memudahkan  kalangan  tertarik   topik    domisili    penyelenggaraannya"
"915","cukup membantu  "
"916"," webinar   pandemi membantu      rumah  memanfaatkan "
"917","bagus nambah pengetahuan  ilmu bgt  berguna   kerja"
"918","  manfaat     orang   ilmut "
"919"," jarang mengikuti webinar dsb    kaitannya  proses   kelas"
"920","iya"
"921"," bagus  pribadi   mengisi   mengikuti webinar  pelatihan   menambah ilmu    didapatkan  kuliah"
"922","webinar pjj cukup memebrikan refleksi  ide ide    daring      terlaksananya ide ide menarik    "
"923",""
"924","ya  menambah ilmu  skill"
"925","  dampak"
"926"," webinar    "
"927","  cukup membantu   pribadi   malas  menghadiri seminar offline"
"928","ya cukup "
"929","ya  webinar  dilaksanakan  gratis  topik   beragam   pilihan tema sesuai minat masingmasing pelaksanaan    mempermudah audience     venue"
"930","   menempatkan   peserta webinar isi webinar    penyampaian  cenderung  menarik  membosankan    menyibukkan         memperhatikan inti  webinar "
"931","lumayan  dampak masuk engganya materinya tergantung si peserta serius nyimak  cuman  esertifikat"
"932","iya"
"933","iya"
"934","ya"
"935"," bermanfaat   disaat pandemi webinar   dilaksanakan"
"936","webinar  pelatihan   membantu      ilmu     rumah"
"937","  dampak    semangat"
"938","setuju webinar  pelatihan  dilaksanakan   pandemi  dampak    proses  jarak      rumah    aktivitas  bermanfaat   produktif  mengembangkan kemampuan      rumah  proses  jarak     menyenangkan   bersemangat  mengikuti kegiatan kegiatan pengembangan    rumah     terbuang sia sia"
"939","ya  dampak   significant"
"940"," perkuliahan    mengikuti  webinar   bermanfaat   gratis"
"941","  berpengeruh   orang    ketidakmaksimalan  proses "
"942","ya  dampak  mengisi kekosongan   mengikuti webinar    meningkatkan skillskill   ilmuilmu  bermanfaat"
"943","  webinar   membantu  proses pjj "
"944","cukup berpengaruh"
"945","  ratarata   mengejar sertifikat    berdampak apapun  proses "
"946","ya"
"947","lumayan"
"948","  cukup  dampak mahasiswa  mengeskplor  luas  otodidak"
"949"," berdampak positif"
"950"," semangat  tips  "
"951","berdampak  proses tapi  berdampak   hasil"
"952","lumayan cukup membantu   orang awam     daring   metodenya membosankan    webinar pelatihan   dilaksanakan cukup membantu    media  metode "
"953"," dampak   karna      pasilitas tehnologi  belaja mengajar anak didik "
"954","  dampak     referensi  pjj"
"955","ya berdampak"
"956","  manfaat   membantu  proses  jarak "
"957","tergantung  jenis  konsep  dibawakam  webinar  kebanyakan webinar  fokus  komunikasi  arah   komunikasi  menimbulkan timbal  cukup minim"
"958","      dirumah  kesulitan  mengikuti kegiatan webinar"
"959","ya"
"960","iya  "
"961"," berdampak "
"962"," membantu    efektif"
"963","ya dampak nya  "
"964","sy  peenah  webinarpernah daftar tp  pelaksanaan jaringan internet  bagus"
"965"," dampaknya  pembuatan media  "
"966"," berdampak  peningkatan kompetensi  keterampilan  guru  menyajikan  berbasis      guru mengikuti kegiatan webinar  pelatihan    referensi guru  memilih metode moda  platform   sesuai     anak didiknya"
"967","ya"
"968"," baguskarena  ilmu   metode   efektif  "
"969","dampak"
"970","iya     webinar guru    memahami      tatap    pelatihan  workshop   jarak  "
"971","ya      kegunaan gadget     main game"
"972","lumayan membantu  berdampak "
"973","iyaa"
"974"," sih         virtual"
"975"," sreg  suka lag"
"976","webinar   pandemi    pengaruh    sayadampak  pjj  pengaruh     ilmu  dapatkan  pandemi "
"977","ya   webinar  salah   mengisi   pengetahuan  bermanfaat"
"978","   langkah    bagus          dilaksanakan  tatap  tapi   tergantung sinyal"
"979","iya karna    gambaran"
"980","bermanfaat  mengisi  luang"
"981","ya khusunya  bertema  teknologi"
"982","webinar jenis   terkait  model  media         dampak positif   memperoleh   metode      media "
"983","ya   mudah mengikuti acara  seminar  jaraknya "
"984","alhamdulilah cukup efektif"
"985","iya"
"986","  bagus  bermanfaat     dirumah    kegiatan    sebatas kbm daring    webinar    ilmu tambahan"
"987","dampaknya cukup    mendengar pemateri   aktivitas   gampang mencari webinar sesuai   "
"988"," banyaknya  membatu   maksimal"
"989","ya dampak  signifikan  membekali guru   variasi pengajaran"
"990"," dampak nya karna  paham   pelatihan"
"991","ya"
"992","ya  pelatihan ddapatpt menambah pengetahuan"
"993",""
"994"," "
"995"," bagus  membantu meningkatkan skill   guru  "
"996",""
"997","ya  variasi metode  penyampaian "
"998","ya"
"999","lumayan berdampak"
"1000"," berdampak  inspirasi  ilmu   pengembangan metode "
"1001","        pelajari maka    berguna"
"1002","cukup    serius  memperoleh ilmu"
"1003","cukup mendukung"
"1004","menambah pengetahuan"
"1005","webinar   dampak  memperlengkapi guru  keterampilan  dibutuhkan  pjj  berjalan  "
"1006","ya"
"1007","ya"
"1008","cukup"
"1009"," dampak  proses  jarak    "
"1010","cukup setuju"
"1011","ya"
"1012","cukup membantu  proses pengajaran"
"1013"," dampak motivasi"
"1014"," maksimal   webinar   ikuti  dasarnya   diterapkan dlm proses  "
"1015",""
"1016","ya"
"1017",""
"1018","ya"
"1019","bagus menambah pengetahuan  keterampilan"
"1020",""
"1021","ya   menambah wawasan"
"1022","iya"
"1023","ya   webinar  pelatihan  menambah wawasan"
"1024","ya"
"1025","ya   pelatihan   kemampuan  inovatif  membantu proses  jarak "
"1026","cukup membantu  kadang prakteknya   ekspetasi"
"1027"," menolong"
"1028","  webinar  pelatihan  dampak  bagus    pengetahuan pengalaman  ilmu   pelatihan  pembuatan media  jarak "
"1029","cukup membantu menambah wawasan ruang    fleksibel"
"1030",""
"1031"," begituq"
"1032",""
"1033",""
"1034","iya   dampak  positif  guru  media   "
"1035","cukup    diajarkan  diterapkan dipembalajaran    jenuh   macam apapun"
"1036","alhamdulillah  dampak  segi kreativitas   guru   media   mengoptimalkan      jenuh peserta didik"
"1037","memiliki dampak positif   mengenal   pengajaran asinkron"
"1038","ya  memiliki  referensi   metode  memaksimalkan  "
"1039","pelatihan webiner     minati "
"1040","banya manfaat  webinar     diterapkan   jarak "
"1041"," membantu  mempermudah guru  kondisi  "
"1042","  iya  manfaatnya tp  keaktifan  "
"1043","ya     jelas  dampaknya khusunya   guru mengelola        dampak  anak  prestasi  kognitifnya   karakter sikap psikomotoriknya  anak   "
"1044","webinar membantu   memahami     lakukan"
"1045"," membantu  berexplorasi"
"1046","ya  berdampak "
"1047","kadang membantu kadang sulit dilaksanakan   webinar  "
"1048","penggunaan youtube  video conference  zoom  cukup "
"1049","aplikasi sikola   sediakan  unhas  membantu  proses  mengajar   tersedia  tugas     ujian  "
"1050","  elearning  mempermudah dosen  mahasiswa   dann "
"1051","webside    membantu disaat offline "
"1052","karna cukup mempermudah"
"1053","elearning  website   kebih mempermudah  proses   "
"1054","  akses  "
"1055","   buku  web perpus"
"1056","tanggapan  yah jujur"
"1057","        mengaksesnya  "
"1058","cukup  mempermudah proses   tugas"
"1059"," elearning cukup membantu  kapasitas pengiriman data terbatas"
"1060"," setuju    e learning    disediakan  kampus  membantu proses    platform komunikasi  mahasiswa  dosen  mendownload modul    media mengumpulkan tugas"
"1061"," setuju    e learning    disediakan  kampus  membantu proses    platform komunikasi  mahasiswa  dosen  mendownload modul    media mengumpulkan tugas"
"1062","cukup setuju    buku    cari  "
"1063","  mudah"
"1064"," elearning kampus    cukup bagus tapi kelas     dosen  memanfaatkannya kebanyakan  aplikasi  kampus  website perpustakaannya cukup rumit  diakses      situs pencarian jurnal"
"1065","  mempermudah    pelajaran  dibutuhkan  diakses  sistem elearning"
"1066","  pribadi cukup setuju  sistem   terapkan  kampus   mudah   pahami    sulit  sebahagian orang  cukup gaptek"
"1067","    jangkau  jaringan internet"
"1068"," memudahkan orang orang   bandung"
"1069"," setuju   mencari  mudah      dosen"
"1070","elearning    cukup mumpuni"
"1071","mempermudah    elearning   terdokumentasikan      membutuhkan  minggu    mengaksesnya"
"1072","cukup sulit mengakses"
"1073"," mempermudah   praktis"
"1074"," dimanfaatkan"
"1075","cukup setuju  terkadang website downatau  utsuas     menjadikan buruburu  meng upload file"
"1076"," mendukung       pakainya"
"1077","setuju"
"1078"," "
"1079","cukup bagus aja"
"1080","  sistem e learning kampus   kemudahan    telat mengumpulkan tugas   diinput hhe"
"1081","  efektif"
"1082","    cukup membantu"
"1083","  cukup mempermudah   akses  menjalankan sistem "
"1084","ya  membantu untukwadah  bahan ajar  pengumpulannya"
"1085","peserta didik memanfaatkan fasilitas    perpustakaan sekolah  menunjang tugastugas sekolahnya"
"1086"," website perpustakaan cukup       buku   "
"1087"," membantu"
"1088","iya  membantu"
"1089","tergantung jaringan"
"1090"," memudahkan  informasi  dibutuhkan"
"1091","  buku  sesuai  mata kuliah  diajarkan"
"1092"," tau jg"
"1093","cuku bagus  proses "
"1094","keberadaan website perpustakaan  cukup membantu proses    sepenuhnya  kendala   "
"1095",""
"1096","  bagus"
