User;opinionText
Sri Juhariah, S.Pd ;KBM tidak maksimal karena tidak bisa berinteraksi langsung baik antara siswa dengan guru maupun siswa dengan siswa
ERNA SOFIA NENGSIH;Siswa kurang memahami materi kalau online
Mmmm;Bagus online
Rohman Nurdin;Yang bagus proporsi 40% secara online 60% secara tatap muka
Widawati;Tetap peran guru tak tergantikan
DEWI MARLINDA, S.Pd.;karena melalui tatap muka hubungan sosial antara guru dengan siswa, siswa dengan siswa lebih dapat dan pembentukan karakter siswa lebih mudah 
Argi Fathurachim;Karena lebih paham tatap muka
RIGAN DIAZ ALGIFARI;Karena hubungan guru dan murid tidak terjalin secara sempurna, dikarenakan adanya sekat berupa pertemuan virtual jadi agak kurang gitu.
RENALDI RAMADHAN;Kurang efektif dan sinyal kurang mendukung
Esa Saputra;karena metode daring terbilang siswa menjadi jenuh,banyak pembelajaran yang tidak tersampaikan semua.lebih baik tatap muka karena pembelajaran menjadi efektif
Giva Nur Aulia;Karena belajar tatap muka hingga saat ini di pantau mampu mengatasi pendidikan di era pandemi, namun jika dikatakan lebih baik dari tatap muka itu tidak karena belajar jarak jauh ini tidak bisa di pantau secara langsung dan menurunkan semangat belajar.
Dila Margaretha;"Karena jika pembelajaran online kadang sebagai siswa atau mahasiswa itu merasa sulit menerima materi yang kadang tidak dijelaskan secara terperinci, bahkan biasanya pembelajaran online itu cukup banyak tugas.
Jika wilayah berada dipengunungan atau terpencil  maka akan sulit mendapatkan sinyal, padahal pembelajaran online itu sangat tergantung dengan sinyal"
Novitasari;Karna belajar online tidak seseru belajar tatap muka meski tugas lebih ringan 
Sofyan Hidayat;Pembelajaran onlen dirasa tidak maksimal dalam penjelasan materi, guru terlalu banyak memberi tugas.
Septy;Untuk mata pelajaran yang berpraktik pembelajaran secara online susah untuk disesuaikan
LILI SUMARNI,S.Pd;Pembelajaran tatap muka tidak dapat digantikan oleh model pembelajaran apapun. Saat tatap muka, pengajar bisa mengetahui bagaimana peserta didiknya, motivasinya, kekurangan dan kelebihannya serta dapat memantau kemajuna belajarnya secara langsung. Jika ada kesulitan siswa juga dapat langsung bertanya.
Ayu Noor Aeni;Materi yang di berikan lebih sering tidak di mengerti ketimbang belajar tatap muka
RIDA MANARUZZAMAN ;sedikit kurang efektif
Suci Sukmayanti Putri;Mengajar manusia tetap memerlukan interaksi sosial secara langsung, sentuh dari hati ke hati akan berbeda jika melewati media
Rafi Ikhwanudien Muhammad ;Cukup setuju karena ada kekurangan dan kelebihannya,kelebihannya kita bisa belajar walaupun jauh oleh jarak, kekurangannya yaitu jarang bertemu satu sama lain sehingga kurangnya silaturahmi, 
Julinda Ika Saputri;kurangnya fasilitas pembelajaran, misal video record penjelasan materi dari dosennya langsung, kurangnya paham materi yang diberikan hanya melalui pdf, ppt
MURODI, S.Pd.I;Setuju pada saat pandemi
Dhyana Wijayanti;Satu sisi praktis dan menjadi satu lompatan besar baik guru atau siswa, namun kadang kondisi tempat tinggal yang membuat sedikit hambatan online.
Fauziah Ru'fatul Ulya Karimah;karna saat tatap muka online agak susah untuk mencerna pelajaran yang dijelaskan nya
JUSTIN DRILEN ABEDNEGO;Karena ketika belajar kita harus buka buku atau tab crime yang harus kita cair jika dibutuhkan,lebih ribet dan susah untuk bertanya ketika sibuk mengerjakan sesuatu
Pancari Cahaya;karena tidak dapat berinteraksi dengan siswa 
Kwok Mei Foeng;Karakter siswa tidak dapat terbentuk...
Dian Markuci;Menurut saya setelah melaksanakan kuliah online, banyak kendala dalam melaksanakan kuliah seperti sinyal yang buruk, keadaan dirumah yang kadang tidak memungkinkan untuk fokus, belum lagi biaya kuota untuk kuliah online cukup menguras kantong dan banyak kekurangan lain sehingga jika dibandingkan dengan tatap muka menurut saya tatap muka lebih baik dibandingkan online
Rodi Saroyo, S.Pd.;Tergantung sikon KBM yang dijalankan. Ada kalanya pembelajaran jarak jauh tepat bagi siswa namun di saat yang lain konvensional lebih tepat karena bisa berinteraksi langsung.
Ratih Era Setianingrum; pembelajaran jarak jauh lebih simple
Rini Rachmawati;Siswa yang kurang partisipasi
Andriani;Masih belum siapnya tenaga pendidik dan pendidik dalam pelaksanaan pembelajaran jarak jauh daring dilihat dari segala aspek 
Herlanto;Setuju
Agung Hendro Pradityo;Sebenarnya lebih praktis untuk murid-murid dengan tingkat IQ yang memadai, lebih interaktif dan memacu anak untuk bereksplorasi. Namun realitanya adalah sejak awal 80% rata-rata anak satu kelas memiliki IQ dan tingkat pemahaman yang minim. Sehingga untuk anak-anak seperti ini perlu metode tatap muka
Elisabeth Puspa Wardani;Ada beberapa hal terkait pembelajaran yang kemudian menjadi lebih tertata rapih
Lylis Bahriani;Kurang efektifnya peran aktif siswa dalam belajar & kesukaran guru untuk mengevaluasi atau memberikan penilaian kognitif, afektif & psikomotorik siswa
SUHERNI;Karena sudah dikondisikan dalan laporan pembelajaran jarak jauh
Katarina Endang Rejeki;Pembelajaran tatap muka sangat diperlukan peserta didik.
Rustam Herman Kesuma;Dengan tatap muka respon siswa akan dapat ditangkap dengan baik oleh guru dan dapat ditindak lanjuti langsung
LUSIA NGATILAH;Tidak mendidik hanya mengajar, tidak ada pendekatan dengan anak.
Maria Magdalena Dwi R;Penyampaian materi kepada anak belum maksimal
Yetty Ida Rohani Tobing;karena kurang maksimal
Retno Puspitasari;Pembelajaran dengan metode tatap muka jauh lebih baik dari pada online. Siswa lebih mudah memahami materi pelajaran.
Dahlia afissiya shalma;Cukup Setuju 
Elisabet Ona;Karena dengan menggunakan Metode pembealajaran online anak-anak kurang fokus untuk belajar
Aprillia Setiawan;Karena peserta didik belum siap dengan pembelajaran 100% on line
Christiana Titik Budiati;Kasus Covid masih tinggi 
Evinora. V. Hutabarat;Karena tatap muka lebih efektif untuk belajar
Jani Susanti;Karena tidak bisa belajar dengan baik
Irma Okviana Br Ginting Munthe;Tatap muka jauh lebih baik dari on line
Teresia Wellydar;Tidak maksimal
Johannes Krismanto;Karena melalui pembelajaran tatap muka guru semakin mengetahui kebutuhan siswa
Lucia Puji Sumarni;Metode tatap muka lebih baik daripada pembelajaran online
Yanti Karmila;Baik
Christiana Suwarti;Karena pembelajaran jarak jauh kurang efektif
ani karolina;Karena sedang pandemi covid 19
B. Dyah M.;Bisa lebih baik (membuat anak yang rajin lebih aktif untuk belajar), bisa juga lebih buruk (membuat anak yang malas menjadi lebih malas) 
Y. Noviana Purwaningrum ;Kondisi anak berbeda satu sama lain dalam pemahaman materi yang diberikan. 
MAGDALENA SIMBOLON;KARENA ADA BEBERAPA SISWA YANG LEBIH BISA MEMAHAMI PELAJARAN DENGAN METODE TATAP MUKA
Emilda Manuntungi;"Tidak tatap muka, respon siswa selama pembelajaran kurang memuaskan. Masalah jaringan internet, masalah siswa tidak ada yang mendampingi
"
COSMAS BUTSI L.;Sebenarnya lebih baik tatap muka, namun karena pandemi ini maka harus dilakukan pembelajaran secara online.
Sumardiyah;Pembelajaran secara online untuk guru harus kreatif dan inovatif, sedangkan untuk siswa harus komunikatif.
sarwedi;Karena sulit memantau perkembangan afektif dan emosional siswa
Kusnaeni;Biasa aja
Nur Hidayat;Karena siswa banyak yang tidak paham mengenai materi pembelajaran
Fahriah;Karena tidak semua siswa mengikuti
Ida siagian;Masalah sinyal, waktu pertemuan
Larasati Prihantari;Kalo sepenuhnya online tidak setuju, namun jika dilakukan blended learning kemungkinan akan baik sebab kita perlu adakan tatap muka juga dengan siswa agar pembelajaran dirasakan dua arah
M.Budi mulyanto;Siswa tidak dapat merespons dengan baik . Siswa tidak faham Ketika ada mata pelajaran yang memerlukan penjelasan secara detail . Seperti akuntansi , bahasa Inggris, matematika contohnya
Faishal Hanif;Banyak tantangan yang kami hadapi dalam menyelenggarakan pembelajaran daring. Terutama dari sisi SDM dan kondisi ekonomi masing-masing peserta Didik. Saya diamanahkan oleh kurikulum sebagai Tim IT di sekolah untuk mengedukasi rekan-rekan Guru yang masih awam soal belajar online dan selama hampir 1 tahun berjalan masih belum optimal. Kami ingin kreatif dalam membuat pembelajaran agar semakin menarik, namun juga harus memperhatikan kondisi kuota peserta didik karena tidak semua dari mereka hidup dalam kondisi ekonomi yang cukup
Yusup Supyani;Karena banyak kelemahan terutama sinyal internet.
Septian;Belajar online memang lebih dapat membuat semakin kreatif tetapi tidak semua siswa dapat mengembangkan kemampuan dengan belajar online, sehingga metode sekolah online tidak dapat diterapkan ke beberapa siswa
Ilyas;Saya lebih setuju belajar tatap muka dari pada belajar online 
ILMA AMALIA;yang pastinya aplikasi belajar, meeting, dan situs-situs seperti perpustakaan 
Rofi Rosydi, S.Pd;Karena kurang maksimal khusus pembelajaran olahraga sangat krodit sekali
Dias saputri;Banyak materi yang kurang dipahami siswa 
Suwanto;Karena anak di tingkat SD, masih memerlukan banyak bimbingan dan perhatian dari pendidik serta memerlukan contoh keteladanan yang ia bisa lihat secara kongkret untuk membentuk karakter baiknya. Itu sangat efektif dengan tatap muka secara langsung dan siswa SD yang karakter belajarnya masih pada hal-hal yang kongkret tersebut maka mereka akan mendapatkan pembelajaran yang lebih bermakna jiga secara langsung tatap muka.
Chatarina Dewi L;Untuk media tehnologinya setuju  ada gc,gf,meet dsb.Cara on linenya tidak karena karakter dan sikap sosial susah untuk di bentuk jika secara on line terlebih ini usia pubertas masa pencarian jati diri , akan susah kalau lingkungannya prosentase dunia maya lebih besar. 
Sudarsono;"Prestasi siswa terlihat lebih menurun baik akademi ataupun non akademi, juga kedisiplinan mereka
"
Achmad fadil baihaki;karena sulita untuk memantau siswa langsung pada saat KBM berlangsung
Clara Hardhini;Sebenarnya saya pilih biasa saja, karena dijenjang SD, anak-anak harus ada interaksi secara fisik dengan guru dan teman-temannya. Tetapi metode daring bisa menjadi pilihan untuk keadaan-keadaan tertentu.
D. Irga B. Naufal Fakhri ;OneNote, untuk mencatat hal hal yang diperlukan
Andi Husnul Khatimah;Fasilitas aplikasi yang di sediakan oleh Universitas yaitu sikola
Fanny Shafira Damayanti;Kuota internet dari pemerintah
Nur Ummul Annisa;Laptop dan HP
N Muthiah S;Kuota gratis
Nur Azwa;Hp, laptop
ARRIZAL FURQONA GIFARY;laptop, hp, internet
M. Asyraf Mubarak Sudarmin;Sekarang yang dibutuhkan laptop,smartphone  dan kuota tapi itu semua di tanggung masing-masing. Pengalaman saya selama pembelajaran jarak jauh, masih untung perkuliahan hanya melalui wa, dan tidak perlu memakai laptop. Tapi cukup sayang yakni teman-teman yang harus pakai zoom, atau apapun itu yang menguras banyak kuota dan hanya di tanggung masing.
Sri Ayu Mauliana;Zoom dan WA
Maulydia ;Handphone, Laptop dan Internet seadanya 
Fadila Prima Putri;wifi, laptop
Tegar Nova Silviana;Untuk fasilitas saya menggunakan google, baik itu meet, classroom dan google pencarian. Selain itu menggunakan zoom, YouTube, dan mungkin sosial media lainnya.
Wahyu kurnia sari;Laptop dan akses internet 
Satriani;Laptop dan akses internet 
Sukhriatun Rudiah;Hp
Lu'lu Al-Maknun Musytari ;Tidak ada
Andi Nurfadillah Ali;Yang pastinya aplikasi belajar, meeting, dan situs-situs seperti perpustakaan 
Makhdaniar Madhani At thaharah;Menggunakan zoom dan google meet sehingga bisa bisa belajar daring
Syamsuddin;Alat elektronik seperti laptop, hp, dan menggunakan wifi 
Desmah Fajriani;Tidak ada fasilitas
Titi ayu astuti;Kuota
Muh. Arham;Handphone dan Laptop
Nuha Hanifatul Khonsa';LMS Kampus, Kuota Kampus/Kemendikbud
Fitri cahaya;Sosmed dapat digunakan dalam belajar bersama seperti diskusi mengenai pelajaran maupun diskusi luar pelajaran bersama teman teman.
Gany Berdu Sura;Laptop, hp, wifi
Kamaruddin. H;Laptop, handphone, wi-fi
Dina Soraya Fauziah;XRecorder
Chandra Kirana Poetra;Zoom,elearning,google meet
Kaka Kamaludin;Laptop dan WiFi
Ilham Muhammad Ariq;Laptop
Putri Nella;Laptop dan handphone
Ida fatrini putri;Wifi
hanfi hermawan;Kuota dari pemerintah saya manfaatkan untuk zoom saat ada pembelajaran, jika saya tidak ada kuota, saya numpang wifi di tempat keluarga
Bakti Qilan Mufid;leptop,hp,meja belajar dan lain hal
Zavira Nurfalita;Laptop, Wi-Fi
Murnia Lestari;Handphone dan laptop.
Fatmawati;Laptop, Handphone,Kuota
Fitria Dwi Ningsih;Hand phone , lattop
Dyning Aida Batrishya;Fasilitas internet yang diberikan oleh pemerintah
Sitti Arabia;kuota internet
A. Meriam Residen;Hp/buku/laptop dan lain hal.
Kasmawati Zainuddin;Handphone dan laptop
Zakiyah;Google chrome
Nurul Maghfirah Aras;Zoom
Nurul wafika;Handphone dan wifi
Fahira, S.Pd;Tidak ada
A.IDHAM FITRAH AL MADANI;Aplikasi WA grup, Google Meet dan Google Classroom
A. Mukramin Yusuf;tidak ada
Rezky Ananda;Zoom Meeting dan Elearning
Nurul A’in ;Aplikasi Zoom atau Google Meet dan Google Classroom 
Nur Hikma;Pulsa
Andi Muh Fauzan Razak;Handphone
Andi Indri Pratiwi;Komputer, lcd dan lainnya
Nurul Fitri;Laptop, HP
Anissatul Muazzirah;Andorid, laptop
Sitti Aisyah;Kuota internet
Habib Abdul Rasyid;Google classroom, google meet, zoom dan whatsaap
Janjalaneh;Internet, hanphone, laptop/komputer
Nurul Istikhomah;Hape
MUH. RUSMAN;Hp, laptop, jaringan internet 
Biutipul;Zoom
Suciyani;Laptop, Online Room
Ainun Nurul Asa;Laptop dan handphone
Annisa muliani ilmi;Laptop, hp
A. St. Ardiyanti Umar;kuota belajar 
Aya;Multimedia Pembelajaran 
Difa Al Fansha;Zoom, google clasroom
Aulyardha Anindita ;Laptop, Hp, dan Internet
Kasdiana;Saya menggunakan fasilitas internet melalui wifi dan device yang digunakan oleh laptop
Liyana majdah rahma;Zoom, Googlr Classroom, Google Form dan Quizizz
Nur Aina;Proses belajar untuk refrensinya itu jurnal serta makalah yang sesuai dengan materi
Ifan wahyudi;Kuliah / belajar secara daring memakai apk LMS, Zoom, goggle classroom efisien dan mudah dlm penggunaannya
Agus Paturohman;Laptop
Tita Puspita;Aplikasi WA, zoom
Atti S;Laptop, zoom, google, studio mini, aplikasi editing video
Imam muslimin;zoom,google meet,google classroom,edubox,quiziz,google form
SANIB;Internet PC, hanphone dan lain hal
Wirda Nengsi,S.Pd;Laptop, Wifi, Headset, HP
Indah Sari;Fasilitas yang d gunakan yaitu google classroom dan WA
A.Aida Wulandari Putri ;Hp dan laptop
Andi Nadhyatul Hidayah;Handphone dan laptop
Nurul Hidayah Alimuddin ;Zoom, google meet, class room, dan lain hal
Arjun Yuda Firwanda;Melalui media zoom menurut saya cukup membantu meskipun ada beberapa  aplikasi lainnya juga yang sangat cocok digunakan. 
Harun Ar - Rasyid;Internet, Kuota, Laptop
Sri Rahayu;wifi
Damara Benedikta ;Hp dan laptop
Evietania;kuota internet serta gadget 
Muhammad Fahmi;Handphone dan lain hal
Faisal Najib Abdullah;platform zoom, gmeet, jaringan yang memadai, teknologi, WA dan lain hal
Nia zuliana;Kuota, leptop, hp, komputer, youtube, google, dan lain hal
Eka Nuraini;Belum ada. 
Naila Rahma Fitri;Saya merasakan tidak mendapatkan fasilitas apapun dari kampus. Saya juga tidak mendapatkan kuota internasional dari kampus 
Muhammad Adham Malik;Kuota internet 
NURSYAFIKAH;Seperti data internet gratis
Andi Tenri Rahayu Asri;Laptop 
Oktaviana Nurul Khoiriah;Buku, handphone dan data internet
Murafiqah ramadhani;Saya menggunakan zoom, google meeting,dan WhatsApp
Ira Dwita Syafitri Tarigan;Hp, dan laptop
Reski Amalia;Fasilitas Seperti Leptop dan kuota internet 
Maria Ulfa;Laptop dan Hp
Nur aulia syahbani ;Buku dan internet
Ayu Wahyuni;Kuota kemendikbud 
Andi Nur Ihsan Bahri;Laptop
ahmad farid;Tidak Ada
Adie Wirahardi Kusuma;laptop & handphone
Bahtiar;Beragam aplikasi-aplikasi yang dapat mendukung pembelajaran online selecara synchronous dan asynchronous, zoom meeting, google classroom / lms berbasis moodle, Whatsapp group, quizziz, wordwall, oray, dan lain hal
Ibnu Bathutah;mengikuti kuliah
Dewi Gustini;Internet, aplikasi zoom, Lap Top dan LMS 
Endang Lestari;PC, handphone
Juni Srikuswati ;Fasilitas ruang yang kita lengkapi dengan background green screen dan wifi yang stabil
Wulan Novitasari;LMS
Siti Masruroh;Meja yang di taruh di dekat jendela,laptop dan kuota yang sinyalnya kenceng 
Dini Permata Putri;Kuota kemendikbud
Ahmad Syahroni;fasilitas kuota 
Yohanes Sigit Untoro;Media zoom meating dan google classroom
Fauzan;GC GF  youtube web
nayah anjani;Fasilitas kouta pembalajaran gratis kadang tidak diterima sama sekali perbulannya
ERNI MARYANI, S.Pd;laptop dan wifi
Soleh;Google meet, google classroom, google form dan WhatsApp
Sopiah;Zoom meeting, google classroom, WhatsApp grup, Google form
Fatoni Kabir;Zoom, GCR, padlet, Ed puzzle, quiziz, Kahoot, flipgrid
Desi Ayu Ramadhan;.
Asrini Salsabila Putri;Handphone, laptop, dan internet
Nisrina Salsabila ;Laptop, hp
Alin Natusaripah;Internet 
Millati Haniefa Nurkamila;Laptop, buku, alat tulis
Udho ganteng;Zoom, google meet
Nuril Kartika Rahmawati ;Ofline
Cindy Callysta;Laptop, Handphone, dan Internet
Aini Zahra;Wifi, laptop, hp, buku
Medina;Laptop, handphone, serta bantuan subsidi kuota
Digma Heldy Pratama;Kadang laptop dan kuota memadai, namun sering listrik padam. Jadi belum terlalu yakin bahwa sudah menggunakan fasilitas dengan baik
Milena;Kualitas jaringan internet, laptop dan kuota internet
Muthmainnah Nur;Internet yang diakses melalui laptop dan hp untuk menunjang kegiatan belajar mengajar seperti gmeet dan zoom 
Dewi F.F.;laptop dan handphone
Ravenska Vania;Adanya kuota internet dari pemerintah dan penggunaan alat bantu belajar seperti zoom, google meet, kahoot dan lain hal
dewi robin pramary;Zoom, Google Meet, Google Classroom, Quiziz, Mentimeter, Google Form
mega purwati;laptop, youtube, classroom, internet
HERLINA DWI KARTIKASARI;laptop, gadget, dan internet yang mendukung
amanda;Mempelajari materi yang dikirim pada aplikasi pembelajaran
Zahrah Tsania;wifi,laptop,ipad,hp
Dea;Laptop, handphone. 
Salsabela;Perpustakaan online, aplikasi seperti microsoft teams
Sindhu Wijaya Mulyo Nugroho;Platform online meeting, fasilitas e-learning kampus
Imelia Nurlaila;saya hanya memakai laptop
zahra chairunnisa wihajaya;komputer, laptop, handphone, printer dan scan
Andin;wifi, laptop, hp
Faradina;Laptop, Hp, Wifi
Latanza Delia Choirunnisa;kuota dari pemerintah
Widadri Ailin;Kuota internet dari kampus dan kemendikbud
Bulqiah Jagad Mauladan;online learning, online database jurnal
Shafira Desy Ayu Al - Fikri;Youtube, Bimbel Online, Web Internet
Chrisye;Handphone, Buku, Lks, Internet, Google Classroom, Zoom.
Nabila Hasna;internet & laptop
Rizqi Amalia Utami;Aplikasi komunikasi seperti zoom atau google meet dan aplikasi e learning seperti google classroom 
Adinda Kasih Salsabilah;Google Classroom, Google Meet, Zoom
Lelly Febriyanti;Fasilitas internet dan barang teknoogi sperti smarthphoen dan laptop.
Dita Cahayatiningsih;Laptop dan wifi
Noor Anisa Amelia;Pernah mendapatkan bantuan kuota dari kampus
Riska;YouTube, gmeet, zoom
hana;Classroom dan zoom
Cahya;internet dan gadget
Marni;Laptop, Handphone, DSLR
Asep Muslihat;Google meet,  zoom, Google Form, Google  Classroom,  dan lain hal
Bekti widodo;Jaringan internet, laptop, aplikasi zoom
Rohman Mulyadi;Kendala internet dan perangkat
N.Mardiyah;Laptop / Hp dan Infocus
Herlin Sundari;ruang kelas sangat baik, infokus tersedia , leptop ada 
Mulyani. S.Pd;Penggunaan GMeet agar dapat menjelaskan dan berdiskusi secara langsung dengan peserta didik
Wartono;Google Class Room
Yosa Halim Prayogi;Jaringan internet yang memadai, penyampaian materi ajar yang seefektif mungkin 
Dini Alisari;Untuk pembelajaran online fasilitas yang didapat yaitu kuota internet, fleksibilitas dalam sistem pembelajara  karena dilakukan secara daring.
Evita Wulansari;Hp dan Laptop
Muh. Ruli Gunawan ;googlemeet, google classroom, google form, WhatsApp, quizziss
Mulyani;Melakukan bimbingan kpd Guru
Nufa Suryana ;Google Class Room
Susanti;Wifi
Yuli Eenawati;WhatsApp, youtube, google form, GCR dan lainnya
Peni Trihastuti;Zoom.gcr dan google form
Imam Nashokha;Whattsap  sebagai media komunikasi, Youtube sebagai media  yang berisi materi pelajaran, Google Form dan Google Classroom sebagai media penilaian
Sri Juhariah, S.Pd ;Zoom meeting, LMS Seamolec, Classroom, Ms. Team, G-Meet, Whatsapp group, dan lain sebagainya 
ERNA SOFIA NENGSIH;Hp, laptop 
Mmmm;Leptop (zoom)
Rohman Nurdin;Free cost
Widawati;Kreatifitas dalam pembelajaran online dengan berbagai aplikasi yang sudah dipahami oleh guru dan siswa agar tidak ada kejenuhan dalam pembelajaran
DEWI MARLINDA, S.Pd.;HP  tablet laptop
Argi Fathurachim;Jaringan Internet, alat komunikasi/Hp, laptop
RIGAN DIAZ ALGIFARI;Handphone
RENALDI RAMADHAN;Smartphone dan data internet.
Esa Saputra;Wifi rumah
Giva Nur Aulia;HP dan Laptop 
Dila Margaretha;Handphone dan notebook
Novitasari;Seperti kuota bantuan dari kemendikbud. Tapi tergantung wilayah siswa atau mahasiswa, tidak semua sinyal dapat terjangkau
Sofyan Hidayat;Kuota pemerintah
Septy;Wifi,hp,laptop,alat tulis
LILI SUMARNI,S.Pd;Aplikasi zoom, kahoots, quizziz dan lain hal
Ayu Noor Aeni;E-learning, grup WhatsApp, dan juga youtube.
RIDA MANARUZZAMAN ;Hp, internet
Suci Sukmayanti Putri; 
Rafi Ikhwanudien Muhammad ;Google meet, whats app grup
Julinda Ika Saputri;Seperti Hp Laptop dan koneski internet 
MURODI, S.Pd.I;menambahkan animasi per-materi agar para mahasiswa lebih berwarna dan enak dipandang, disertakan penjelasan contoh soal pada dosen agar ketika mengerjakan tugas atau quiz tidak kebingungan
Dhyana Wijayanti;WhatsApp ,goole,form
Fauziah Ru'fatul Ulya Karimah;WhatsApp, Google Classroom, Zoom, Google Meet
JUSTIN DRILEN ABEDNEGO;Google,google classroom,google meet,zoom
Pancari Cahaya;Menggunakan perangkat android
Kwok Mei Foeng;wifi,laptop, aplikasi pembelajaran kelas pontar
Dian Markuci;Komputer dan Hp
Rodi Saroyo, S.Pd.;Laptop
Ratih Era Setianingrum;Kuota internet, zoom, power point dan materi terkait lainnya.
Rini Rachmawati;internet 
Andriani;Laptop, Wifi
Herlanto; Internet, laptop/komputer, materi pelajaran, aplikasi pembelajaran sebagai penunjang KBM
Agung Hendro Pradityo;Fasilitas gadget 
Elisabeth Puspa Wardani;GMEET ZOOM YOUTUBE 
Lylis Bahriani;Untuk peralatan handphone dan laptop jadi lebih produktif, lalu belajar memakai aplikasi aplikasi pembelajaran supaya pengelolaannya jadi lebih baik
SUHERNI;Google Form, Zoom, Quizizz
Katarina Endang Rejeki;Daring Dan luring
Rustam Herman Kesuma;ZOOM & WAG
LUSIA NGATILAH;Google Classroom, Google Meet, Youtube
Maria Magdalena Dwi R;Zoom meeting
Yetty Ida Rohani Tobing;Zoom, group WA, share video pembelajaran
Retno Puspitasari;Video, zoom
Dahlia afissiya shalma;Google meet
Elisabet Ona;Leptop dan handphone
Aprillia Setiawan;Zoom
Christiana Titik Budiati;Gmeet, zoom, quizz
Evinora. V. Hutabarat;Alat peraga, YouTube dan lain hal
Jani Susanti;Hp, Laptop, Wifi
Irma Okviana Br Ginting Munthe;Zoom dan WhatsApp
Teresia Wellydar;Laptop, Handphone
Johannes Krismanto;Internet, hp, dan laptop
Lucia Puji Sumarni;Zoom, google form
Yanti Karmila;Laptop dan hp
Christiana Suwarti;mengunakan zoom meeting
ani karolina;Laptop,HP, Komputer
B. Dyah M.;Leptop,kadang juga video pembelajaran
Y. Noviana Purwaningrum ;Fasilitas yang ada dimanfaatkan dengan optimal, dengan penggunaan laptop, jaringan internet, dan ponsel
MAGDALENA SIMBOLON;Zoom meeting, Google Jamboard, WhatsApp, Youtube 
Emilda Manuntungi;INTERNET, RUANG KELAS, LABORATORIUM
COSMAS BUTSI L.;Zoom/GMeet, PPT, Video pembelajaran, WAG, GCR
Sumardiyah;Hp android dan juga youtube
sarwedi;Fasilitas seperti aplikasi pembelajaran seperti Google classroom, Edmodo, quiziz, google site 
Kusnaeni;Google suite dan Zoom
Nur Hidayat;Proyektor  atau berkelompok  diskusi tanya jawab
Fahriah;Laptop dan internet
Ida siagian;Laptop/hp
Larasati Prihantari;Lap top, hp
M.Budi mulyanto;Wifi, modul pembelajaran dan media pembelajaran
Faishal Hanif;Google meet, quizesss, video 
Yusup Supyani;Laptop, Webcam
Septian;Menggunakan metode sinkron dan asinkron.
Ilyas;Google classroom, Google meet, Zoom meeting, Quizzis, Youtube, Video pembelajaran, Powerpoint
ILMA AMALIA;Belajar secara langsung atau tatap muka
Rofi Rosydi, S.Pd;via zoom, gmeet, WhatsApp dan  youtube
Dias saputri;Zoom meeting dengan metode pembelajaran langsung
Suwanto;WaG,Google meet,Google form,quiziz
Chatarina Dewi L;Karena, banyak perangkat sudah saya gunakan dengan maksimal mulai dari goole clasroom, zoom, g meet,WA, edublog dan semua aplikasi di Google for education.
Sudarsono;Meet, gc, gf, WhatsApp, dan instragram
Achmad fadil baihaki;Aplikasi pembelajaran dan beberapa model pembelajaran (Youtube, Google classroom, google form, quizess, dan lain hal)
Clara Hardhini;Wifi, dan apalikasi belajar lainnya
D. Irga B. Naufal Fakhri ;LMS Google Classroom, Google extension Kami untuk annotate tugas-tugas siswa (untuk koreksi), Google Meeting/ Zoom, Game Edukasi Online Wordwall, Quiziz
Andi Husnul Khatimah;Karena makin banyak mahasiswa yang makin malas
Fanny Shafira Damayanti;Pembelajaran online menurut saya kurang memberikan dampak baik dalam proses belajar mengajar misalnya saja dalam peorses belajar mengajar menggunakan zoom biasanya mahasiswa mematikan kamera dan mikrofon lalu melakukan aktivitas yang lain sehingga pembelajaran kurang efektif
Nur Ummul Annisa;Dampak baiknya dengan belajar online siswa tetap bisa belajar dirumah tanpa harus bertatap muka langsung demi mencegah penyebaran covid19, dampak buruknya guru atau dosen terkadang memberikan tugas lebih banyak ketika kuliah online dibandingkan dengan kuliah tatap muka
N Muthiah S;Hanya saja rasanya akan sangat berbeda ketika offline, saya merasa materi yang diberikan tidak terlalu masuk
Nur Azwa;Dapat Lebih kreatif khususnya dlm hal teknologi
ARRIZAL FURQONA GIFARY;"Terkadang ada hal"" yang sulit di mengerti ketika pembelajaran online"
M. Asyraf Mubarak Sudarmin;tergantung orang nya sihh
Sri Ayu Mauliana;menurut saya pribadi, cukup jenuh, karena hanya kuliah melalui whatsapp, dan tidak seefektif kuliah tatap muka
Maulydia ;Jujur
Fadila Prima Putri;saya setuju tidak setuju sih karena itu tadi belajar online ini tidak efisien tapi tetap harus dijalankan agar proses belajar mengajar juga tetap berjalan
Tegar Nova Silviana;karena para mahasiswa bisa dengan baik mendengarkan ketika dosen memberi penjelasan dalam belajar
Wahyu kurnia sari;Dampak yang baik dalam pembelajaran online yaitu kemandirian siswa, dan memicu lahirnya kecanggihan teknologi.
Satriani;Menurut saya cukup baik namun pembelajaran onlen kurang maksimal 
Sukhriatun Rudiah;Menurut saya cukup baik namun pembelajaran onlen kurang maksimal 
Lu'lu Al-Maknun Musytari ;Menurut saya tidak begitu memberikan dampak yang baik karena seringkali siswa pada saat belajar online juga membuka beberapa aplikasi lain sehingga konsentrasi untuk belajarnya tidak full, akan tetapi sebenarnya dengan adanya pembelajaran online ini juga memberikan beberapa manfaat yang baik misalnya siswa sudah bisa memainkan yang namanya gadget
Andi Nurfadillah Ali;Kurang minat saat guru/dosen menjelaskan
